tanggal,tahun,bulan,h2_ppb,ch4_ppb,co2_ppm,co_ppb,delta_h2,target_h2_delta,delta_co,delta_ch4,delta_co2,rasio_h2_co,h2_lag1,h2_lag2,sin_bulan,cos_bulan
2014-10-01,2014,10,558.47,1871.03,395.16,149.12,2.9600000000000364,2.9600000000000364,26.960000000000008,22.269999999999982,1.5100000000000477,0.10979228486647016,555.51,550.78,-0.8660254037844386,0.5000000000000001
2014-11-01,2014,11,551.87,1879.5,392.75,141.92,-6.600000000000023,-6.600000000000023,-7.200000000000017,8.470000000000027,-2.410000000000025,0.9166666666666676,558.47,555.51,-0.5000000000000004,0.8660254037844384
2014-12-01,2014,12,552.7,1890.5349999999999,395.3,156.045,0.8300000000000409,0.8300000000000409,14.125,11.034999999999854,2.5500000000000114,0.05876106194690555,551.87,558.47,-2.4492935982947064e-16,1.0
2015-01-01,2015,1,553.53,1901.57,397.85,170.17,0.8299999999999272,0.8299999999999272,14.125,11.035000000000082,2.5500000000000114,0.0587610619468975,552.7,551.87,0.49999999999999994,0.8660254037844387
2015-02-01,2015,2,560.68,1907.35,398.8,196.64,7.149999999999977,7.149999999999977,26.47,5.779999999999973,0.9499999999999886,0.2701171137136372,553.53,552.7,0.8660254037844386,0.5000000000000001
2015-03-01,2015,3,560.6,1886.17,398.34,167.68,-0.07999999999992724,-0.07999999999992724,-28.95999999999998,-21.179999999999836,-0.4600000000000364,0.002762430939224009,560.68,553.53,1.0,6.123233995736766e-17
2015-04-01,2015,4,557.51,1869.74,397.15,131.66,-3.090000000000032,-3.090000000000032,-36.02000000000001,-16.430000000000064,-1.1899999999999977,0.08578567462520907,560.6,560.68,0.8660254037844387,-0.4999999999999998
2015-05-01,2015,5,552.41,1869.35,395.82,118.01,-5.100000000000023,-5.100000000000023,-13.649999999999991,-0.39000000000010004,-1.329999999999984,0.3736263736263755,557.51,560.6,0.49999999999999994,-0.8660254037844387
2015-06-01,2015,6,546.76,1856.62,395.37,102.75,-5.649999999999977,-5.649999999999977,-15.260000000000005,-12.730000000000018,-0.44999999999998863,0.3702490170380062,552.41,557.51,1.2246467991473532e-16,-1.0
2015-07-01,2015,7,548.73,1843.26,394.97,126.46,1.9700000000000273,1.9700000000000273,23.709999999999994,-13.3599999999999,-0.39999999999997726,0.08308730493462792,546.76,552.41,-0.4999999999999997,-0.8660254037844388
2015-08-01,2015,8,558.47,1866.78,394.81,207.25,9.740000000000009,9.740000000000009,80.79,23.519999999999982,-0.160000000000025,0.1205594751825722,548.73,546.76,-0.8660254037844385,-0.5000000000000004
2015-09-01,2015,9,562.3466666666667,1868.0066666666667,396.44666666666666,196.57333333333332,3.876666666666665,3.876666666666665,-10.676666666666677,1.2266666666666879,1.636666666666656,-0.36309709647205696,558.47,548.73,-1.0,-1.8369701987210297e-16
